next.keys,next.rt,participant,session,date,expName,frameRate,
space,0.520413487101905,,001,2018_Oct_17_1321,pyns_exp,59.92189957316887,
space,2.9869034559233114,,001,2018_Oct_17_1321,pyns_exp,59.92189957316887,
