next.keys,next.rt,participant,session,date,expName,frameRate,
space,0.8205110130365938,,001,2018_Oct_17_1427,pyns_exp2,59.97670757849384,
space,0.3706433509942144,,001,2018_Oct_17_1427,pyns_exp2,59.97670757849384,
