next.keys,next.rt,participant,session,date,expName,frameRate,
space,0.987015319056809,,001,2018_Oct_17_1719,pyns_exp2,59.99336764429277,
space,0.6371750800171867,,001,2018_Oct_17_1719,pyns_exp2,59.99336764429277,
