5.4905 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1280, 800]. Using actual size
6.1896 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x112c024e0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1600]), stereo=False, units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.1896 	EXP 	window1: recordFrameIntervals = False
6.3555 	EXP 	window1: recordFrameIntervals = True
6.5386 	EXP 	window1: recordFrameIntervals = False
6.5474 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x103f080b8>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
6.5502 	EXP 	Created whitesquare = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='whitesquare', opacity=0.9, ori=array(0.), pos=array([14.9, 11.2]), size=array([1., 1.]), units='cm', vertices=ndarray(...), win=Window(...))
6.6824 	EXP 	Created intro_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='intro_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
6.7211 	EXP 	Created intro_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='intro_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
6.7382 	EXP 	Created open_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='open_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
6.7425 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+\n', units='norm', win=Window(...), wrapWidth=1)
6.7555 	EXP 	Created close_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='close_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
6.7583 	EXP 	Created blank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='blank', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=' ', units='norm', win=Window(...), wrapWidth=1)
6.8232 	EXP 	Set  sound=./sound/open_speak.wav
6.8232 	EXP 	Set Sound  volume=1.000
6.8362 	EXP 	Created gaze_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='gaze_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
6.8383 	EXP 	Created center = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='center', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([0.5, 0.5]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
6.8392 	EXP 	Set  sound=./sound/left_speak.wav
6.8393 	EXP 	Set Sound  volume=1.000
6.8416 	EXP 	Created left = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='left', opacity=1.0, ori=array(0.), pos=array([-14.,   0.]), size=array([0.5, 0.5]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
6.8423 	EXP 	Set  sound=./sound/right_speak.wav
6.8423 	EXP 	Set Sound  volume=1.000
6.8444 	EXP 	Created right = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='right', opacity=1.0, ori=array(0.), pos=array([14.,  0.]), size=array([0.5, 0.5]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
6.8452 	EXP 	Set  sound=./sound/up_speak.wav
6.8452 	EXP 	Set Sound  volume=1.000
6.8479 	EXP 	Created up = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='up', opacity=1.0, ori=array(0.), pos=array([ 0., 14.]), size=array([0.5, 0.5]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
6.8490 	EXP 	Set  sound=./sound/down_speak.wav
6.8490 	EXP 	Set Sound  volume=1.000
6.8514 	EXP 	Created down = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='down', opacity=1.0, ori=array(0.), pos=array([  0., -14.]), size=array([0.5, 0.5]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
6.8622 	EXP 	Created esc = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='esc', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text="End of test\n\nPress 'esc'", units='norm', win=Window(...), wrapWidth=1)
6.8895 	EXP 	intro_text: autoDraw = True
6.8895 	EXP 	whitesquare: autoDraw = True
7.7282 	DATA 	Keypress: space
7.7561 	EXP 	intro_text: autoDraw = False
7.7561 	EXP 	whitesquare: autoDraw = False
7.7561 	EXP 	intro_text: autoDraw = True
9.7934 	DATA 	Keypress: space
9.8067 	EXP 	intro_text: autoDraw = False
12.3088 	DATA 	wsqS
12.3249 	EXP 	whitesquare: autoDraw = True
12.3249 	EXP 	whitesquare: autoDraw = False
12.3258 	DATA 	wsqS
12.3411 	EXP 	whitesquare: autoDraw = True
12.3411 	EXP 	whitesquare: autoDraw = False
12.3417 	DATA 	wsqS
12.3581 	EXP 	whitesquare: autoDraw = True
12.3581 	EXP 	whitesquare: autoDraw = False
12.3590 	DATA 	wsqS
12.3744 	EXP 	whitesquare: autoDraw = True
12.3744 	EXP 	whitesquare: autoDraw = False
12.3751 	DATA 	wsqS
12.3915 	EXP 	whitesquare: autoDraw = True
12.3915 	EXP 	whitesquare: autoDraw = False
12.3923 	DATA 	wsqS
12.4079 	EXP 	whitesquare: autoDraw = True
12.4079 	EXP 	whitesquare: autoDraw = False
12.4087 	DATA 	wsqS
12.4248 	EXP 	whitesquare: autoDraw = True
12.4248 	EXP 	whitesquare: autoDraw = False
12.4257 	DATA 	wsqS
12.4412 	EXP 	whitesquare: autoDraw = True
12.4412 	EXP 	whitesquare: autoDraw = False
12.4419 	DATA 	wsqS
12.4582 	EXP 	whitesquare: autoDraw = True
12.4582 	EXP 	whitesquare: autoDraw = False
12.4589 	DATA 	wsqS
12.4745 	EXP 	whitesquare: autoDraw = True
12.4745 	EXP 	whitesquare: autoDraw = False
12.4752 	DATA 	wsqS
12.4923 	EXP 	whitesquare: autoDraw = True
12.4923 	EXP 	whitesquare: autoDraw = False
12.4931 	DATA 	wsqS
12.5078 	EXP 	whitesquare: autoDraw = True
12.5078 	EXP 	whitesquare: autoDraw = False
12.5086 	DATA 	wsqS
12.5251 	EXP 	whitesquare: autoDraw = True
12.5251 	EXP 	whitesquare: autoDraw = False
12.5258 	DATA 	wsqS
12.5412 	EXP 	whitesquare: autoDraw = True
12.5412 	EXP 	whitesquare: autoDraw = False
12.5419 	DATA 	wsqS
12.5582 	EXP 	whitesquare: autoDraw = True
12.5582 	EXP 	whitesquare: autoDraw = False
12.5590 	DATA 	wsqS
12.5745 	EXP 	whitesquare: autoDraw = True
12.5745 	EXP 	whitesquare: autoDraw = False
12.5753 	DATA 	wsqS
12.5917 	EXP 	whitesquare: autoDraw = True
12.5917 	EXP 	whitesquare: autoDraw = False
12.5924 	DATA 	wsqS
12.6079 	EXP 	whitesquare: autoDraw = True
12.6079 	EXP 	whitesquare: autoDraw = False
12.6086 	DATA 	wsqS
12.6249 	EXP 	whitesquare: autoDraw = True
12.6249 	EXP 	whitesquare: autoDraw = False
12.6256 	DATA 	wsqS
12.6414 	EXP 	whitesquare: autoDraw = True
12.6414 	EXP 	whitesquare: autoDraw = False
12.6421 	DATA 	wsqS
12.6582 	EXP 	whitesquare: autoDraw = True
12.6582 	EXP 	whitesquare: autoDraw = False
12.6590 	DATA 	wsqS
