Recording 39
Time Mode: Relative Time
Code,Label,Type,Track,Onset,Duration
DIN3,,Stimulus Event,DIN 1,_00:01:23.232,_00:00:00.001,gidx,25,
oc_E,,Stimulus Event,ECI TCP/IP 55513,_00:01:25.950,_00:00:00.001, , ,
gazS,,Stimulus Event,ECI TCP/IP 55513,_00:01:25.965,_00:00:00.001, , ,
sdow,,Stimulus Event,ECI TCP/IP 55513,_00:01:27.466,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:01:27.834,_00:00:00.001,gidx,26,
srig,,Stimulus Event,ECI TCP/IP 55513,_00:01:29.971,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:01:30.336,_00:00:00.001,gidx,27,
srig,,Stimulus Event,ECI TCP/IP 55513,_00:01:32.460,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:01:32.837,_00:00:00.001,gidx,28,
sdow,,Stimulus Event,ECI TCP/IP 55513,_00:01:34.950,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:01:35.339,_00:00:00.001,gidx,29,
s_up,,Stimulus Event,ECI TCP/IP 55513,_00:01:37.470,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:01:37.840,_00:00:00.001,gidx,30,
slef,,Stimulus Event,ECI TCP/IP 55513,_00:01:39.960,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:01:40.341,_00:00:00.001,gidx,31,
slef,,Stimulus Event,ECI TCP/IP 55513,_00:01:42.466,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:01:42.843,_00:00:00.001,gidx,32,
s_up,,Stimulus Event,ECI TCP/IP 55513,_00:01:44.970,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:01:45.344,_00:00:00.001,gidx,33,
gazE,,Stimulus Event,ECI TCP/IP 55513,_00:01:50.131,_00:00:00.001, , ,
oc_S,,Stimulus Event,ECI TCP/IP 55513,_00:01:50.145,_00:00:00.001, , ,
sclo,,Stimulus Event,ECI TCP/IP 55513,_00:01:52.140,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:01:52.681,_00:00:00.001,gidx,34,
sope,,Stimulus Event,ECI TCP/IP 55513,_00:01:55.140,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:01:55.684,_00:00:00.001,gidx,35,
sclo,,Stimulus Event,ECI TCP/IP 55513,_00:01:58.143,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:01:58.685,_00:00:00.001,gidx,36,
sope,,Stimulus Event,ECI TCP/IP 55513,_00:02:01.140,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:02:01.686,_00:00:00.001,gidx,37,
oc_E,,Stimulus Event,ECI TCP/IP 55513,_00:02:04.305,_00:00:00.001, , ,
bliS,,Stimulus Event,ECI TCP/IP 55513,_00:02:04.321,_00:00:00.001, , ,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:02:06.316,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:02:06.690,_00:00:00.001,gidx,38,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:02:09.315,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:02:09.692,_00:00:00.001,gidx,39,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:02:12.316,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:02:12.693,_00:00:00.001,gidx,40,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:02:15.316,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:02:15.695,_00:00:00.001,gidx,41,
bliE,,Stimulus Event,ECI TCP/IP 55513,_00:02:18.481,_00:00:00.001, , ,
bliS,,Stimulus Event,ECI TCP/IP 55513,_00:02:18.495,_00:00:00.001, , ,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:02:20.506,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:02:20.864,_00:00:00.001,gidx,42,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:02:23.506,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:02:23.866,_00:00:00.001,gidx,43,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:02:26.505,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:02:26.867,_00:00:00.001,gidx,44,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:02:29.505,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:02:29.869,_00:00:00.001,gidx,45,
bliE,,Stimulus Event,ECI TCP/IP 55513,_00:02:32.670,_00:00:00.001, , ,
endE,,Stimulus Event,ECI TCP/IP 55513,_00:02:33.675,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:02:34.687,_00:00:00.001,gidx,46,
